Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
Ghost;Justice;Justin Bieber;19/03/2021;153190;77;canadian pop,pop;0.604;0.741;2;-5.571;1;0.0475;0.178;0.0000349;0.409;0.473;153.947;4
STAY (with Justin Bieber);STAY (with Justin Bieber);The Kid LAROI,Justin Bieber;09/07/2021;141805;87;australian hip hop,canadian pop,pop;0.591;0.764;1;-5.484;1;0.0483;0.0383;0;0.103;0.478;169.928;4
Sorry;Purpose (Deluxe);Justin Bieber;13/11/2015;200786;83;canadian pop,pop;0.654;0.76;0;-3.669;0;0.045;0.0797;0;0.299;0.41;99.945;4
Intentions (feat. Quavo);Changes;Justin Bieber,Quavo;14/02/2020;212866;77;canadian pop,pop,atl hip hop,melodic rap,rap,trap;0.806;0.546;9;-6.637;1;0.0575;0.3;0;0.102;0.874;147.986;4
Private Landing (feat. Justin Bieber & Future);Private Landing (feat. Justin Bieber & Future);Don Toliver,Justin Bieber,Future;23/02/2023;238253;66;rap,trap,canadian pop,pop,atl hip hop,hip hop,southern hip hop;0.858;0.641;1;-4.31;0;0.0954;0.111;0.0000212;0.109;0.445;136.991;4
What Do You Mean?;Purpose (Deluxe);Justin Bieber;13/11/2015;205680;80;canadian pop,pop;0.845;0.567;5;-8.118;0;0.0956;0.59;0.00142;0.0811;0.793;125.02;4
Hold On;Hold On;Justin Bieber;05/03/2021;170813;73;canadian pop,pop;0.658;0.634;1;-5.797;0;0.0413;0.0106;0;0.132;0.29;139.98;4
Let Me Love You;Encore;DJ Snake,Justin Bieber;05/08/2016;205946;85;edm,electronic trap,pop,pop dance,canadian pop;0.649;0.716;8;-5.371;1;0.0349;0.0863;0.0000263;0.135;0.163;99.988;4
Peaches (feat. Daniel Caesar & Giveon);Justice;Justin Bieber,Daniel Caesar,Giveon;19/03/2021;198081;85;canadian pop,pop,canadian contemporary r&b,r&b;0.677;0.696;0;-6.181;1;0.119;0.321;0;0.42;0.464;90.03;4
Beautiful Love - Free Fire;Beautiful Love (Free Fire);Justin Bieber;30/08/2022;207837;68;canadian pop,pop;0.789;0.602;4;-7.465;0;0.0477;0.0568;0.00000101;0.108;0.525;111.022;4
Cold Water (feat. Justin Bieber & MØ);Cold Water (feat. Justin Bieber & MØ);Major Lazer,Justin Bieber,MØ;22/07/2016;185351;73;dance pop,edm,electro house,moombahton,pop,pop dance,tropical house,canadian pop,danish pop,electropop;0.608;0.798;6;-5.092;0;0.0432;0.0736;0;0.156;0.501;92.943;4
Honest (feat. Don Toliver);Honest;Justin Bieber,Don Toliver;29/04/2022;193322;70;canadian pop,pop,rap,trap;0.81;0.655;8;-6.779;0;0.0698;0.127;0.0000816;0.105;0.809;150.002;4
Baby;My World 2.0;Justin Bieber,Ludacris;01/01/2010;214240;83;canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap;0.728;0.859;5;-5.237;0;0.137;0.0401;0;0.111;0.535;65.043;4
Love Yourself;Purpose (Deluxe);Justin Bieber;13/11/2015;233720;85;canadian pop,pop;0.609;0.378;4;-9.828;1;0.438;0.835;0;0.28;0.515;100.418;4
Holy (feat. Chance The Rapper);Holy;Justin Bieber,Chance the Rapper;18/09/2020;212093;73;canadian pop,pop,chicago rap,conscious hiphop,hip hop,pop rap,rap;0.673;0.704;6;-8.056;1;0.36;0.196;0;0.0898;0.372;86.919;4
Yummy;Changes;Justin Bieber;14/02/2020;208520;70;canadian pop,pop;0.676;0.506;9;-6.652;0;0.0958;0.345;0;0.118;0.497;145.842;4
Red Eye (feat. TroyBoi);Justice (The Complete Edition);Justin Bieber,TroyBoi;08/10/2021;187452;66;canadian pop,pop,bass trap,electronic trap;0.815;0.816;5;-4.393;0;0.0513;0.0501;0.000887;0.0761;0.774;96.033;4
Boyfriend;Believe;Justin Bieber;01/01/2012;171333;75;canadian pop,pop;0.717;0.55;10;-6.019;0;0.0521;0.0358;0.00196;0.126;0.332;96.976;4
Lonely (with benny blanco);Lonely (with benny blanco);Justin Bieber,benny blanco;16/10/2020;149297;73;canadian pop,pop;0.631;0.239;11;-7.071;0;0.0398;0.864;0;0.116;0.0927;79.859;4
I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);Grateful;DJ Khaled,Justin Bieber,Quavo,Chance the Rapper,Lil Wayne;22/06/2017;288600;72;hip hop,miami hip hop,pop rap,rap,trap,canadian pop,pop,atl hip hop,melodic rap,chicago rap,conscious hip hop,new orleans rap;0.609;0.668;7;-4.284;1;0.0367;0.0552;0;0.167;0.811;80.924;4
