"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5dPz35akJjPqb17yeqNwqH","Ghost","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:0w1dwXfG5z6Xjjgj524JkD","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b2736036cfd2a718036fc523855f","1","11","153190","https://p.scdn.co/mp3-preview/468ec06e036337853655302652923533faba87ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM72102635","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:5HCyWlXZPP0y6Gqq8TgA20","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4QLAtpLNUsHEYrcHXmMIZZ","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","2021-07-09","https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5","1","1","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USSM12103949","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Sorry","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","4","200786","https://p.scdn.co/mp3-preview/eca5a32b13f68f700b06e06ffdc8110e61e232ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71516760","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:4umIPjkehX1r7uhmGvXiSV","Intentions (feat. Quavo)","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Justin Bieber, Quavo","spotify:album:63iWSELt9V1kV6RSMxN7Ii","Changes","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2020-02-14","https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6","1","4","212866","https://p.scdn.co/mp3-preview/4b999da50bfb50a261080c0ed6c78773679a849b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM72001302","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:4EDTT4kSqfpc0FKuxfNo2E","Private Landing (feat. Justin Bieber & Future)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Don Toliver, Justin Bieber, Future","spotify:album:3UeapbH1wFSnDjCjraZMQ2","Private Landing (feat. Justin Bieber & Future)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Don Toliver, Justin Bieber, Future","2023-02-23","https://i.scdn.co/image/ab67616d0000b2736a781a84ae7590cde3d6ec7c","1","1","238253","https://p.scdn.co/mp3-preview/511bdf681359f3b57dfa25344f34c2b66ecc4326?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USAT22301679","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:4B0JvthVoAAuygILe3n4Bs","What Do You Mean?","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","3","205680","https://p.scdn.co/mp3-preview/408d55c4d5d6383a57b93361b6e58d5e8916ebe3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71511919","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:4u4NyuceXP7Uzh7XFJKCr1","Hold On","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:1btu3XEwHsImFreF8dVV6J","Hold On","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-05","https://i.scdn.co/image/ab67616d0000b273bc2dd68b840bb48db3177046","1","1","170813","https://p.scdn.co/mp3-preview/a0f89f3ed6c2ef0f3ee4e728a8b503028fd51a85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM72102322","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","Let Me Love You","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1uNFoZAHBGtllmzznpCI3s","DJ Snake, Justin Bieber","spotify:album:02sEJTj1sye1JaqxqpcSCp","Encore","spotify:artist:540vIaP2JwjQb9dm3aArA4","DJ Snake","2016-08-05","https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc","1","13","205946","https://p.scdn.co/mp3-preview/7864c6e844bdf1438c355017ecab0daceccb82f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","QMZSY1600015","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Peaches (feat. Daniel Caesar & Giveon)","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP","Justin Bieber, Daniel Caesar, Giveon","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","12","198081","https://p.scdn.co/mp3-preview/cc4a3aa7b548792f4f37f4501303010985442876?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUM72102636","spotify:user:","2023-03-07T21:55:56Z"
"spotify:track:3e10Ct9oFcIdgFjkDUBV2k","Beautiful Love - Free Fire","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:3Dukyn15RlALh1JDtQRqO0","Beautiful Love (Free Fire)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2022-08-30","https://i.scdn.co/image/ab67616d0000b2732344fbe49cc161ab95c2ab3c","1","1","207837","https://p.scdn.co/mp3-preview/dcbf384986b3be3835e81280d32cdd1c1a44ccfd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USUG12202494","spotify:user:","2023-03-07T21:55:56Z"
